prod,k
Milk products,livst_milk
Eggs,livst_egg
Fruit,others
Bread and cereals,tece
Bread and cereals,maiz
Bread and cereals,trce
Rice,rice_pro
Bread and cereals,brans
Beef and veal,livst_rum
"Lamb, mutton and goat",livst_mutton
Pork,livst_pig
Poultry,livst_chick
Fish and seafood,fish
Processed,oils
Processed,oilpalm
Processed,sugar
Processed,molasses
Processed,oilcakes
Processed,alcohol
Processed,scp
Vegetables,soybean
Vegetables,rapeseed
Vegetables,groundnut
Vegetables,sunflower
Vegetables,potato
Vegetables,puls_pro
Vegetables,cassav_sp
Vegetables,sugr_cane
Vegetables,sugr_beet
Vegetables,Vegetables
